season,week,n_competitors,n_eliminated,actual_elims,pred_percent_elims,pred_rank_elims,percent_hit,rank_hit,methods_agree,percent_elim_fan_pct_mean,percent_elim_judge_pct_mean,percent_elim_delta_mean,percent_elim_high_fan_rate,rank_elim_fan_pct_mean,rank_elim_judge_pct_mean,rank_elim_delta_mean,rank_elim_high_fan_rate
1,2,6,1,Trista Sutter,Trista Sutter,Trista Sutter,1,1,1,0.16666666666666666,0.5,-0.33333333333333337,0.0,0.16666666666666666,0.5,-0.33333333333333337,0.0
1,3,5,1,Evander Holyfield,Evander Holyfield,Evander Holyfield,1,1,1,0.2,0.2,0.0,0.0,0.2,0.2,0.0,0.0
1,4,4,1,Rachel Hunter,Rachel Hunter,Joey McIntyre,1,0,0,0.25,0.75,-0.5,0.0,0.5,0.25,0.25,0.0
2,1,10,1,Kenny Mayne,Kenny Mayne,Kenny Mayne,1,1,1,0.1,0.2,-0.1,0.0,0.1,0.2,-0.1,0.0
2,2,9,1,Tatum O'Neal,Tatum O'Neal,Tatum O'Neal,1,1,1,0.1111111111111111,0.2222222222222222,-0.1111111111111111,0.0,0.1111111111111111,0.2222222222222222,-0.1111111111111111,0.0
2,3,8,1,Giselle Fernandez,Giselle Fernandez,Master P,1,0,0,0.125,0.4375,-0.3125,0.0,0.25,0.125,0.125,0.0
2,4,7,1,Master P,Master P,Master P,1,1,1,0.14285714285714285,0.14285714285714285,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0
2,5,6,1,Tia Carrere,Tia Carrere,Tia Carrere,1,1,1,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0
2,6,5,1,George Hamilton,George Hamilton,George Hamilton,1,1,1,0.2,0.3,-0.09999999999999998,0.0,0.2,0.3,-0.09999999999999998,0.0
2,7,4,1,Lisa Rinna,Lisa Rinna,Lisa Rinna,1,1,1,0.25,0.5,-0.25,0.0,0.25,0.5,-0.25,0.0
3,1,11,1,Tucker Carlson,Tucker Carlson,Tucker Carlson,1,1,1,0.09090909090909091,0.09090909090909091,0.0,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0
3,2,10,1,Shanna Moakler,Shanna Moakler,Shanna Moakler,1,1,1,0.1,0.5,-0.4,0.0,0.1,0.5,-0.4,0.0
3,3,9,1,Harry Hamlin,Harry Hamlin,Emmitt Smith,1,0,0,0.1111111111111111,0.5,-0.3888888888888889,0.0,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.0
3,4,8,1,Vivica A. Fox,Vivica A. Fox,Sara Evans,1,0,0,0.125,0.5,-0.375,0.0,0.25,0.125,0.125,0.0
3,5,7,1,Willa Ford,Willa Ford,Jerry Springer,1,0,0,0.14285714285714285,0.7857142857142857,-0.6428571428571428,0.0,0.5714285714285714,0.21428571428571427,0.3571428571428571,1.0
3,7,5,1,Jerry Springer,Jerry Springer,Jerry Springer,1,1,1,0.2,0.2,0.0,0.0,0.2,0.2,0.0,0.0
3,8,4,1,Monique Coleman,Monique Coleman,Monique Coleman,1,1,1,0.25,0.25,0.0,0.0,0.25,0.25,0.0,0.0
4,2,11,1,Paulina Porizkova,Paulina Porizkova,Shandi Finnessey,1,0,0,0.09090909090909091,0.4090909090909091,-0.31818181818181823,0.0,0.18181818181818182,0.18181818181818182,0.0,0.0
4,3,10,1,Shandi Finnessey,Shandi Finnessey,Clyde Drexler,1,0,0,0.1,0.4,-0.30000000000000004,0.0,0.2,0.1,0.1,0.0
4,4,9,1,Leeza Gibbons,Leeza Gibbons,Leeza Gibbons,1,1,1,0.1111111111111111,0.2777777777777778,-0.16666666666666669,0.0,0.1111111111111111,0.2777777777777778,-0.16666666666666669,0.0
4,5,8,1,Clyde Drexler,Clyde Drexler,Clyde Drexler,1,1,1,0.125,0.125,0.0,0.0,0.125,0.125,0.0,0.0
4,6,7,1,Heather Mills,Heather Mills,John Ratzenberger,1,0,0,0.14285714285714285,0.42857142857142855,-0.2857142857142857,0.0,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0
