name,coef,n_weeks
Derek Hough,0.016724005187630297,164
Valentin Chmerkovskiy,0.01287825487172095,158
Jenna Johnson,0.011128146902294586,56
Cheryl Burke,0.010365652580632155,191
Mark Ballas,0.010162337702988123,166
Kym Johnson,0.009317375840921663,93
Lindsay Arnold,0.008768507210640094,79
Witney Carson,0.008382349980619017,107
Maksim Chmerkoskiy,0.007210323196595732,121
Sharna Burgess,0.00630416384004142,95
Sasha Farber,0.005742362110744235,96
Lacey Schwimmer,0.005343403606957413,41
Daniella Karagach,0.005194246244552262,44
Alan Bersten,0.004959269593202762,62
Pasha Pashkov,0.004041148371347838,37
Peta Murgatroyd,0.003780983378171521,101
Artem Chigvintsev,0.003450037369119667,81
Tony Dovolani,0.0033860020228645266,118
Julianne Hough,0.0031314910760534163,41
Anna Trebunskaya,0.003078518368027089,54
Karina Smirnoff,0.0024590809203929387,117
Emma Slater,0.0019422688731629723,99
Gleb Savchenko,0.0017966436357931656,75
Brandon Armstrong,-0.00012245328662062474,45
Keo Motsepe,-0.0009040839803887079,35
Edyta Sliwinska,-0.0035672319104962423,58
Louis van Amstel,-0.0047537509228656825,65
Britt Stewart,-0.005426362871813346,30
Chelsie Hightower,-0.017274454427690798,43
