name,coef,n_weeks
Derek Hough,0.014748515787183183,164
Pasha Pashkov,0.009691849224950033,37
Valentin Chmerkovskiy,0.008386167796484125,158
Mark Ballas,0.007624449917724139,166
Artem Chigvintsev,0.006727746560146577,81
Brandon Armstrong,0.006617335391568047,45
Cheryl Burke,0.0061917489257496735,191
Kym Johnson,0.00573590009755343,93
Jenna Johnson,0.004790525413361672,56
Witney Carson,0.0047493200213605995,107
Tony Dovolani,0.0046724837318170755,118
Maksim Chmerkoskiy,0.004151409807312281,121
Sasha Farber,0.0041018935599540975,96
Gleb Savchenko,0.003672594895933306,75
Sharna Burgess,0.003028092623330327,95
Julianne Hough,0.0026697109928314885,41
Lindsay Arnold,0.002496991505947197,79
Alan Bersten,0.002342101837613318,62
Emma Slater,0.0020487255687110786,99
Peta Murgatroyd,0.0020423205298693,101
Keo Motsepe,0.0018875570024809339,35
Karina Smirnoff,0.0005227142922736075,117
Daniella Karagach,0.0002718969205936429,44
Anna Trebunskaya,0.00017879268462423457,54
Britt Stewart,-0.00045978338978042334,30
Louis van Amstel,-0.0022807174550896606,65
Lacey Schwimmer,-0.0033205364385211376,41
Edyta Sliwinska,-0.006292527704911796,58
Chelsie Hightower,-0.010706831826891926,43
