target,group,cv_r2,delta_r2_vs_base
judge_percent,baseline,0.7432855395147892,0.0
judge_percent,no_dancer,0.7497663525820719,0.006480813067282765
judge_percent,no_industry,0.7433708508578036,8.531134301448251e-05
judge_percent,no_age,0.7340229890234873,-0.009262550491301869
judge_percent,no_season_progress,0.0871916319419791,-0.65609390757281
fan_vote_normalized,baseline,0.5873718837880336,0.0
fan_vote_normalized,no_dancer,0.5987678424835461,0.011395958695512465
fan_vote_normalized,no_industry,0.5862821832182207,-0.0010897005698129458
fan_vote_normalized,no_age,0.5784709339836287,-0.008900949804404923
fan_vote_normalized,no_season_progress,0.04959651337809423,-0.5377753704099394
