name,coef
Motivational Speaker,0.02261099061778475
Musician,0.016923989472607363
Sports Broadcaster,0.012579824684277983
Racing Driver,0.011635606158666592
Fashion Designer,0.00969048789141583
Astronaut,0.008283487593003803
Journalist,0.007366256365709066
Military,0.006937236250359734
Producer,0.006711234759745113
News Anchor,0.005330257969990293
Fitness Instructor,0.002955317049901154
Conservationist,0.001669477535260391
Social media personality,0.0008627491750984046
Singer/Rapper,-6.277150926506715e-06
Athlete,-9.123178174718681e-05
Actor/Actress,-0.0019796545806226055
Comedian,-0.0036984717051504975
TV Personality,-0.005071877075945226
Entrepreneur,-0.007892413488661668
Social Media Personality,-0.010253542727917205
Con artist,-0.010264223359662924
Politician,-0.010947767626165015
Radio Personality,-0.011421093534037523
Beauty Pagent,-0.013753195794022201
Model,-0.016961688894923187
Magician,-0.021215477804036473
