name,coef
Astronaut,0.014345965200931994
Journalist,0.010496552972813643
Fashion Designer,0.009676956870881897
Sports Broadcaster,0.008109376894955996
Racing Driver,0.00666951709936018
Musician,0.005766042446176622
Motivational Speaker,0.005503684180574508
Producer,0.005408741333264699
News Anchor,0.004584277376053308
Singer/Rapper,0.002474560034748702
Actor/Actress,0.0008293104888914163
Con artist,0.0005609588056702832
Athlete,0.0003259178242417856
Social media personality,-0.0026210130548509087
Conservationist,-0.0027351638431903653
Comedian,-0.002753310926576157
Model,-0.002789264157739331
Beauty Pagent,-0.0035143079615931
Entrepreneur,-0.0038713775867395936
Military,-0.004823655841542204
Social Media Personality,-0.0054666794345292905
TV Personality,-0.0056633805182727285
Fitness Instructor,-0.008432040418742875
Radio Personality,-0.009010075085712966
Magician,-0.009306229161480358
Politician,-0.013765363537609421
