celebrity_name,season,week,weekly_judge_total,estimated_fan_vote,vote_uncertainty,is_eliminated,placement
John O'Hurley,1,6,145.0,4755360.549710587,-36005880.14445555,0,2
Kelly Monaco,1,6,128.0,7450929.737525493,-38688985.18450759,0,1
Evander Holyfield,1,6,45.0,2968474.903362781,-38713143.50833439,1,5
Rachel Hunter,1,6,95.0,6592906.874140486,-34528692.8236384,1,4
Joey McIntyre,1,6,105.5,4376356.034790784,-38654216.94205375,0,3
Trista Sutter,1,6,37.0,6098443.8405251205,-35791674.9986336,1,6
Tatum O'Neal,2,8,40.0,1333970.1663445532,-37370321.41103604,1,9
Tia Carrere,2,8,115.0,6566096.26289463,-39249409.5132304,1,6
George Hamilton,2,8,130.0,5434356.30655694,-37366263.60990742,1,5
Lisa Rinna,2,8,168.5,4437453.076886639,-38740702.5325687,1,4
Stacy Keibler,2,8,220.16649999999998,5086455.778791696,-35832296.38416963,0,3
Jerry Rice,2,8,180.16660000000002,9721960.68891266,-36738989.00968463,0,2
Giselle Fernandez,2,8,69.0,3691834.202382937,-35934487.60363268,1,8
Master P,2,8,50.0,6506348.191330612,-40065717.5124458,1,7
Drew Lachey,2,8,219.4998,5123035.964875817,-36038787.91893632,0,1
Kenny Mayne,2,8,13.0,6037840.848824874,-36332175.966662124,1,10
Harry Hamlin,3,10,60.0,7270259.2159597725,-33778560.871864945,1,9
Vivica A. Fox,3,10,97.0,4555968.2563019395,-37554785.59698921,1,8
Monique Coleman,3,10,199.5,5016682.917965457,-36034536.18564454,1,4
Joey Lawrence,3,10,233.0,3512161.8084546477,-36616343.10158922,0,3
Mario Lopez,3,10,268.6666,9396913.469068497,-37843464.10402556,0,2
Emmitt Smith,3,10,257.6666,3858520.4296462536,-37058620.74416006,0,1
Shanna Moakler,3,10,40.0,7433133.247903332,-36072825.87145983,1,10
Willa Ford,3,10,122.0,4309497.063015804,-36879711.68608819,1,7
Sara Evans,3,10,105.0,5892879.888415828,-36223441.823014215,1,6
Jerry Springer,3,10,143.0,2855134.9672668576,-39846505.97113356,1,5
Tucker Carlson,3,10,12.0,7201835.998756021,-34851931.798076004,1,11
John Ratzenberger,4,10,133.5,4071283.300041467,-40321219.758862294,1,6
Ian Ziering,4,10,218.5,3979021.2834417373,-38895443.251719415,1,4
Clyde Drexler,4,10,78.0,5721535.857077852,-34990093.38972892,1,8
Laila Ali,4,10,262.33320000000003,6043471.813623771,-37385275.66703549,0,3
Apolo Anton Ohno,4,10,268.83320000000003,7753830.662984535,-34917852.740810595,0,1
Shandi Finnessey,4,10,60.0,5082977.840896949,-37832152.42777357,1,10
Paulina Porizkova,4,10,40.0,8029059.455481857,-37413306.72531662,1,11
Heather Mills,4,10,133.0,7186426.787163958,-35851460.55172498,1,7
Billy Ray Cyrus,4,10,152.0,4893269.272026241,-38095596.44117457,1,5
Joey Fatone,4,10,267.6665,5023837.664919451,-37718755.0492598,0,2
Leeza Gibbons,4,10,76.0,5378434.495813802,-37476852.51855156,1,9
Cameron Mathison,5,10,194.0,7312351.130077437,-37403799.55820073,1,5
Jane Seymour,5,10,171.0,4802563.967836037,-35626937.510672055,1,6
Sabrina Bryan,5,10,162.0,6258337.386726633,-37392731.10493662,1,7
Jennie Garth,5,10,227.5,5363284.771922246,-36754279.47243235,1,4
Floyd Mayweather Jr. ,5,10,83.0,7303123.760692984,-37589321.54750979,1,9
Josie Maran,5,10,16.0,5649142.06052722,-37893400.25158744,1,12
Albert Reed,5,10,42.0,5043710.086235598,-36821389.93232884,1,11
Helio Castroneves,5,10,266.4999,6566615.177165642,-38516493.832678705,0,1
Mel B,5,10,272.33320000000003,3642352.159871444,-34342497.260735154,0,2
Wayne Newton,5,10,52.0,6493991.099772379,-36220125.31502086,1,10
Marie Osmond,5,10,242.5,6727328.754127353,-33311344.535544313,0,3
Mark Cuban,5,10,102.0,4456635.870145902,-37047414.99609261,1,8
Cristian de la Fuente,6,10,247.5,6558816.627673894,-36724327.729905464,0,3
Steve Guttenberg,6,10,55.0,7303317.511864394,-35450962.481897764,1,10
Priscilla Presley,6,10,114.0,5344754.097373724,-38216935.41977571,1,8
Marlee Matlin,6,10,134.0,9362633.420679703,-36146495.94261543,1,7
Shannon Elizabeth,6,10,169.5,7650145.20680882,-36830001.73211545,1,6
Marissa Jaret Winokur,6,10,209.0,5774590.156940997,-37298379.18866082,1,4
Jason Taylor,6,10,261.5,8295654.498275936,-37023311.76600532,0,2
Kristi Yamaguchi,6,10,282.0,6048888.103702918,-38007431.79547329,0,1
Monica Seles,6,10,30.0,1927277.23315081,-38026631.124277785,1,11
Penn Jillette,6,10,33.0,5305907.4283543825,-36823093.00471818,1,12
Adam Carolla,6,10,74.0,7021269.136740729,-36950735.671888076,1,9
Mario,6,10,202.0,5880457.433364868,-36251172.24026519,1,5
Ted McGinley,7,10,18.5,5927970.679279774,-38139570.98157539,1,12
Cloris Leachman,7,10,105.0,4029378.5928619057,-36462434.2098102,1,7
Susan Lucci,7,10,153.5,3589322.0091531277,-36257108.64576311,1,6
