celebrity_name,celebrity_industry,celebrity_age_during_season,weekly_judge_total,estimated_fan_vote,judge_rank,fan_vote_rank
John O'Hurley,Actor/Actress,50,145.0,4755360.549710587,1.0,4.0
Kelly Monaco,Actor/Actress,29,128.0,7450929.737525493,2.0,1.0
Kelly Monaco,Actor/Actress,36,128.0,7450929.737525493,2.0,1.0
Evander Holyfield,Athlete,42,45.0,2968474.903362781,5.0,6.0
Rachel Hunter,Model,35,95.0,6592906.874140486,4.0,2.0
Joey McIntyre,Singer/Rapper,32,105.5,4376356.034790784,3.0,5.0
Trista Sutter,TV Personality,32,37.0,6098443.8405251205,6.0,3.0
Tatum O'Neal,Actor/Actress,42,40.0,1333970.1663445532,9.0,10.0
Tia Carrere,Actor/Actress,39,115.0,6566096.26289463,6.0,2.0
George Hamilton,Actor/Actress,66,130.0,5434356.30655694,5.0,5.0
Lisa Rinna,Actor/Actress,42,168.5,4437453.076886639,4.0,8.0
Stacy Keibler,Athlete,26,220.1665,5086455.778791696,1.0,7.0
Jerry Rice,Athlete,43,180.1666,9721960.68891266,3.0,1.0
Giselle Fernandez,News Anchor,44,69.0,3691834.202382937,7.0,9.0
Master P,Singer/Rapper,35,50.0,6506348.191330612,8.0,3.0
Drew Lachey,Singer/Rapper,29,219.4998,5123035.964875817,2.0,6.0
Drew Lachey,Singer/Rapper,36,219.4998,5123035.964875817,2.0,6.0
Kenny Mayne,Sports Broadcaster,46,13.0,6037840.848824874,10.0,4.0
Harry Hamlin,Actor/Actress,54,60.0,7270259.2159597725,9.0,3.0
Vivica A. Fox,Actor/Actress,42,97.0,4555968.25630194,8.0,7.0
Monique Coleman,Actor/Actress,25,199.5,5016682.917965457,4.0,6.0
Joey Lawrence,Actor/Actress,30,233.0,3512161.808454648,3.0,10.0
Mario Lopez,Actor/Actress,32,268.6666,9396913.469068496,1.0,1.0
Emmitt Smith,Athlete,37,257.6666,3858520.4296462536,2.0,9.0
Emmitt Smith,Athlete,43,257.6666,3858520.4296462536,2.0,9.0
Shanna Moakler,Model,31,40.0,7433133.247903332,10.0,2.0
Willa Ford,Singer/Rapper,25,122.0,4309497.063015804,6.0,8.0
Sara Evans,Singer/Rapper,35,105.0,5892879.888415828,7.0,5.0
Jerry Springer,TV Personality,62,143.0,2855134.9672668576,5.0,11.0
Tucker Carlson,TV Personality,37,12.0,7201835.998756021,11.0,4.0
John Ratzenberger,Actor/Actress,59,133.5,4071283.300041467,6.0,10.0
Ian Ziering,Actor/Actress,42,218.5,3979021.283441737,4.0,11.0
Clyde Drexler,Athlete,44,78.0,5721535.857077852,8.0,5.0
Laila Ali,Athlete,29,262.33320000000003,6043471.813623771,3.0,4.0
Apolo Anton Ohno,Athlete,24,268.83320000000003,7753830.662984535,1.0,2.0
Apolo Anton Ohno,Athlete,30,268.83320000000003,7753830.662984535,1.0,2.0
Shandi Finnessey,Beauty Pagent,28,60.0,5082977.840896949,10.0,7.0
Paulina Porizkova,Model,41,40.0,8029059.455481857,11.0,1.0
Heather Mills,Model,39,133.0,7186426.787163958,7.0,3.0
Billy Ray Cyrus,Singer/Rapper,45,152.0,4893269.272026241,5.0,9.0
Joey Fatone,Singer/Rapper,30,267.6665,5023837.664919451,2.0,8.0
Joey Fatone,Singer/Rapper,35,267.6665,5023837.664919451,2.0,8.0
Leeza Gibbons,TV Personality,50,76.0,5378434.495813802,9.0,6.0
Cameron Mathison,Actor/Actress,38,194.0,7312351.130077437,5.0,1.0
Jane Seymour,Actor/Actress,56,171.0,4802563.967836037,6.0,10.0
Sabrina Bryan,Actor/Actress,23,162.0,6258337.386726633,7.0,6.0
Sabrina Bryan,Actor/Actress,28,162.0,6258337.386726633,7.0,6.0
Jennie Garth,Actor/Actress,35,227.5,5363284.771922246,4.0,8.0
Floyd Mayweather Jr. ,Athlete,30,83.0,7303123.760692984,9.0,2.0
Josie Maran,Model,29,16.0,5649142.06052722,12.0,7.0
Albert Reed,Model,22,42.0,5043710.086235598,11.0,9.0
Helio Castroneves,Racing Driver,32,266.4999,6566615.177165642,2.0,4.0
Helio Castroneves,Racing Driver,37,266.4999,6566615.177165642,2.0,4.0
Mel B,Singer/Rapper,32,272.33320000000003,3642352.159871444,1.0,12.0
Wayne Newton,Singer/Rapper,65,52.0,6493991.099772379,10.0,5.0
Marie Osmond,Singer/Rapper,47,242.5,6727328.754127353,3.0,3.0
Mark Cuban,TV Personality,49,102.0,4456635.870145902,8.0,11.0
Cristian de la Fuente,Actor/Actress,34,247.5,6558816.627673894,3.0,6.0
Steve Guttenberg,Actor/Actress,49,55.0,7303317.511864394,10.0,4.0
Priscilla Presley,Actor/Actress,62,114.0,5344754.097373724,8.0,10.0
Marlee Matlin,Actor/Actress,42,134.0,9362633.420679703,7.0,1.0
Shannon Elizabeth,Actor/Actress,34,169.5,7650145.20680882,6.0,3.0
Marissa Jaret Winokur,Actor/Actress,35,209.0,5774590.156940997,4.0,9.0
Jason Taylor,Athlete,33,261.5,8295654.498275936,2.0,2.0
Kristi Yamaguchi,Athlete,36,282.0,6048888.103702918,1.0,7.0
Monica Seles,Athlete,34,30.0,1927277.23315081,12.0,12.0
Penn Jillette,Magician,53,33.0,5305907.428354383,11.0,11.0
Adam Carolla,Radio Personality,43,74.0,7021269.136740729,9.0,5.0
Mario,Singer/Rapper,21,202.0,5880457.433364868,5.0,8.0
Ted McGinley,Actor/Actress,50,18.5,5927970.679279774,12.0,5.0
Cloris Leachman,Actor/Actress,82,105.0,4029378.5928619057,8.0,10.0
Susan Lucci,Actor/Actress,61,153.5,3589322.009153128,6.0,11.0
Cody Linley,Actor/Actress,18,205.5,4558987.809060335,4.0,9.0
Misty May-Treanor,Athlete,31,42.0,6154951.906045198,10.0,4.0
Maurice Greene,Athlete,34,179.5,6305793.134834781,5.0,3.0
